Source Name,Tumor State,Age[Month],1-Methylnicotinamide,2-Hydroxybutyrate,2-Hydroxyisobutyrate,2-Oxoisocaproate,2-Phenylpropionate,3-Hydroxyisovalerate,3-Indoxylsulfate,3-Methyl-2-oxovalerate,4-Hydroxyphenylacetate,Acetate,Acetone,Alanine,Allantoin,Betaine,Carnitine,Choline,Citrate,Creatine,Dimethylamine,Formate,Fumarate,Glucose,Glycerol,Glycine,Guanidoacetate,Hippurate,Histidine,Isoleucine,Isopropanol,Kynurenate,Lactate,Mannose,Methanol,Methylamine,Methylguanidine,"N,N-Dimethylglycine",N-Phenylacetylglycine,O-Phosphocholine,Propylene glycol,Pyruvate,Succinate,Taurine,Threonine,Trigonelline,Trimethylamine,Tryptophan,Tyramine,Urea,Valine,Xylose,cis-Aconitate,myo-Inositol,sn-Glycero-3-phosphocholine,trans-Aconitate,pi-Methylhistidine,Creatinine,Creatinine2
16K-439,1,168,43.3,105.5,6.9,5.2,13.4,4.4,0.3,7.5,16.7,34,13,44.3,1350.7,12.9,111.9,6.7,NA,465,52.3,11.1,NA,317.8,NA,NA,NA,15.7,22.9,2.5,10.6,245.5,1178,3.5,37.3,5.5,13.9,13.4,163.9,8.2,21.3,71.9,684.2,2989.7,NA,NA,19.2,3.9,29.8,15707.7,3.8,4.4,3.6,NA,14.1,5.5,891.6,1551.3,1551.3
16K-440,1,168,160.3,278.4,44.4,20.2,97.2,13.4,387.1,30.5,22.7,280.5,21.4,160.1,3533.9,78.5,92.8,33.8,177.1,1620.4,453.1,26,1.9,311.6,107.9,138.5,302.2,46,71.7,13.5,22.3,326.5,1220,20.2,37.5,28,44.5,6,284.3,10.6,4.9,48.5,65.8,2039.1,50.6,6.7,19.2,30.3,127.5,24252.1,19.7,63.8,156.5,21.9,32.2,31,279.2,4301.9,4301.9
16K-442,1,156,177.7,127.8,95.1,17.2,29.7,14,415,18,29.7,272,16.2,142.1,5438.9,69,855.7,25.5,1625.9,433.5,183.1,46.5,14.7,160.8,66.4,32.8,122.4,210.2,105.7,4.1,23,460.3,4835.6,4.4,22.2,5.8,54.4,16,280.2,NA,12.6,138,219.1,4455.9,56.3,7.2,19.2,23.1,79.3,31998.8,7.4,32.7,210.9,49.9,22.5,34.6,421.5,6547.6,6547.6
16K-452,0,96,142.8,157,48.4,16.8,31.3,25.2,187.3,24.6,130.1,355.5,24.9,220,2863.3,90.3,118.6,19.6,496.9,3089.5,78.1,28.5,6.9,196,40.8,111.5,370.9,29.2,3.6,4.7,63.4,102.7,4534.3,NA,37.1,16.5,33.2,38.5,504.9,7.9,312.6,71.6,86.6,1562.9,29.9,NA,19.2,18.5,96.2,13325,9.6,34,105.5,57.9,6.3,21.9,3144.1,5298.6,5298.6
16K-456,0,NA,419.1,16.7,35.1,1.5,9.3,1.2,33.4,2.5,12,638.5,21.8,31.3,1295.8,22.7,116.8,12.4,NA,268.6,108.1,10.5,1.2,53,13.4,21.9,4.9,167.8,8.2,1.4,75,163,262.1,4.3,20.2,7.8,30.7,31,172.3,2.4,13.8,29.7,45.2,1451.3,27.3,3.5,19.2,5.9,38.8,4771.7,1.8,13.8,9.2,26,14.1,33.6,50.6,1401.5,1401.5
16K-458,1,168,265.9,78.2,41.4,9.9,9,11.8,160,18.7,71.6,70.8,26.5,153.9,2698.2,47.2,138.3,13.5,33.4,4216.2,135.6,23.4,NA,153.4,15.6,50.2,249.8,30.7,250.4,4.9,70.5,784.1,1201.3,NA,19.6,10.4,33.7,15.2,209.8,4.8,6,79.6,3.5,4106.6,63.2,NA,19.2,16.3,116.5,18417.5,8,15.7,66.9,89.5,4.9,18.9,3188.6,4271.4,4271.4
16K-471,1,192,241.1,39.8,42.1,10.7,7.9,3.3,166.5,6.8,14.6,102.1,13.3,83.7,2969.8,40.1,160,21.2,NA,138.1,339.5,22.7,0.6,102.2,50.4,23.1,58.2,174.3,126.8,2.8,221.6,432.5,895.8,NA,30.2,13.3,47.9,5.8,327.2,2,12.7,27,20.3,2659,43.1,71.6,19.2,100.7,92.4,18024.5,7.8,32.1,54.5,NA,19.5,18.6,316,2879.7,2879.7
16K-476,0,180,57.5,68.9,30.2,4.3,11,2,17.1,7,7.7,76.5,5.2,56.8,1486.9,14.9,87,15.8,756.6,1744.7,117.6,17,1.2,69.3,89.9,22.5,22.7,26.1,12.2,2.7,8.5,249.5,1326.4,2.5,21.7,1.9,30.8,11.1,78.8,0.9,4.9,41.1,100.8,292.7,33.1,9.7,19.2,6.7,41.3,10384.1,5.2,2.8,63.7,29.2,13,18.1,582.1,1539.6,1539.6
16K-493,1,168,253.6,91,53.3,8.6,20.4,4.3,36.9,12.7,55,126.5,16.4,101.6,3854.3,208.4,256.5,15.6,2349.7,50.5,256.5,15.7,23.2,181.6,51.6,27.1,85.4,137.2,93.5,3.5,19,630.5,2362.9,18.9,18.7,12.8,74.1,10.9,699.2,7.9,7.1,151,251.9,7847.6,42.1,8.7,19.2,25.4,136.4,15851.6,7.8,37,163.1,NA,41.6,44.5,331.1,4189.6,4189.6
16K-496,1,180,NA,316.1,40.5,10,7.4,31.3,24.6,29.9,27.9,40.7,179.9,36.3,1289.1,138.8,164,18.1,63.4,56.7,63.8,58.3,0.2,517.2,351.2,62,38.4,10.8,15.4,12,19.7,223.7,191.5,20.1,31.2,9.9,17.3,14.4,37.2,7.9,45.4,15.9,13.9,2312.8,51.1,6,19.2,11.7,35.9,3823.1,14.8,21.7,71.5,64.1,60.8,17.2,247.3,2604.2,2604.2
16K-505,1,192,64.5,117.3,31.9,5.6,16.7,7.5,10.6,14.8,23.5,51.5,27.5,90.9,4587.5,54.1,23.5,203.9,396.4,53.7,185.9,61.2,1.5,323.3,155.4,61.9,40.7,27.7,28.9,14.1,26.4,158.9,881.3,13.9,22.7,26.6,27.1,9.5,46.1,2.5,16.7,173.5,11.7,1293.7,73.8,NA,19.2,25.5,44.3,9393.2,19.3,51.5,101,173.6,35.8,25.5,258.3,2447.8,2447.8
16K-522,0,NA,69.9,6.4,16.1,NA,6.8,2.8,49.1,1.6,4.3,15.7,8.4,25.8,770.7,54.3,90.3,5.7,1856.5,20.5,49.8,10.6,NA,122.2,23.4,58.1,NA,13.6,2.2,0.8,7.1,74.7,149.7,NA,16,2.2,16.3,7.7,170.9,NA,2.8,13.6,62.9,55.7,19.7,NA,19.2,NA,48.9,4153.6,2.8,53.7,49.8,24,16.2,6.1,148.7,631.3,631.3
16K-577,1,120,21.1,358.7,45.7,21.9,11,50.7,NA,43.8,21.8,124.4,1348.9,82.7,1813.1,74.1,18.7,117.3,300.4,116.4,97.4,31.8,3.2,204102.3,207.2,150.5,87.8,50.9,20.4,26.6,41.2,143.9,1249.9,895,22.4,17.3,18.9,21.6,132.8,NA,1130.5,22.9,68.1,37.7,119.6,5.4,19.2,26.9,NA,11300.8,45,79.2,37.9,327.6,NA,27.5,347.7,1135.6,1135.6
16K-581,1,228,8.1,NA,0.4,NA,NA,NA,6.3,1.2,NA,4.2,1.4,9.5,44.3,14.8,52.7,1.8,82.4,11.9,8.8,9.9,NA,17.3,13.1,9.3,16.7,NA,NA,0.6,2.7,NA,13.7,NA,17.2,4.4,2.2,5.4,34.9,NA,32.2,6.2,1.2,395.7,9,2.4,19.2,3.9,NA,1857.7,1.1,NA,18.2,6.5,8,NA,74.8,986.6,986.6
16K-601,1,192,322,54.5,39.2,6.4,22.3,4.8,455.5,26.9,25.5,81.5,13.6,147.4,3621.9,139.4,77.3,55.5,762.8,4188.3,1169,143.8,NA,324.2,97,162,548,123.5,137,7.4,20.1,605,68.3,21.7,28.5,23.3,108.8,6.1,197.1,35.8,106.2,36.5,49.8,4513.9,52.5,313.9,19.2,30.3,118.2,20630.1,17.9,111.4,204.1,93.4,47.9,66,924.3,5895.4,5895.4
16K-606,1,168,134.5,39.9,18.1,4.9,9.1,4.6,12.5,11.6,9.1,46.5,285.3,100.1,1467.7,28.7,144.6,7.2,46.1,1667.7,77.1,11.6,0.8,91.3,17.5,25.4,237.3,218.7,116.2,1.7,105.4,457.4,1522.7,9.1,28.7,6.1,12.5,32.4,72.6,6.2,69.3,87.5,4.9,2588.4,169.3,NA,19.2,8.3,47.5,10124.3,3.5,4.3,10,13.1,11.7,5.6,481.3,1287.7,1287.7
16K-615,1,72,177.9,105.2,6.5,29,11.2,4.9,251.9,NA,82.2,514.8,NA,305.5,5324,167.5,848.8,NA,235.5,1690.8,194.8,102.6,NA,501.1,433.3,111.1,60.8,861.3,3.8,3.1,63.7,100.8,5696.7,104.4,NA,13.4,NA,139.4,410.2,1.6,21.3,114.1,5,5249.4,147,6.9,19.2,74.6,109.6,20954.9,3.8,210.1,219,46.3,51.3,40.3,494.5,7595,7595
16K-630,1,168,2.4,18.8,8.8,6.2,8.3,2.2,57,6.2,19.3,28.8,7.5,95.8,1447.7,30.8,29.3,13.1,NA,216.5,61.3,22.4,2,100.1,46.3,44.6,64.3,82.7,5.1,1.5,9.1,114.9,931.8,2.2,28.2,13,10.6,11.4,117.1,44.7,826.8,67.4,3,617.8,12.4,NA,19.2,11.5,23.1,10498.8,3.9,8.2,24.2,114.6,8.1,6.9,142,1186.1,1186.1
16K-634,1,120,675.7,186.2,84.2,20.5,26.5,43.8,32.9,33.5,74.1,133.5,156.3,258.8,2739.1,387,1098.4,63.5,4456.5,4857.4,188.7,166.9,12.9,1799.2,625.6,178.4,365.1,273.8,44.4,22.3,48.6,482,1607.4,156.8,32.6,42.8,53.5,16.1,250.6,15.8,260.6,91.1,151.8,981,379,NA,19.2,60.6,95.1,10873.1,31.6,54.4,207.1,204.1,164.1,31.5,586.7,3853.9,3853.9
16K-638,1,107,13.2,31.6,4.7,0.5,4.6,3.7,NA,3.5,22.3,3.9,10.7,5.9,328,3.4,81.9,11.5,NA,295.4,15.5,26.1,0.8,46.5,18.8,6,NA,7.6,1.1,0.5,1.9,10.4,54.9,NA,13.9,2.6,3,2.5,39.9,1,106.5,5.6,57.6,34,2.6,4.9,19.2,NA,22.3,2969.7,2.4,NA,89.5,34.4,3.3,6.4,96.8,570.3,570.3
16K-642,1,144,502.2,90.7,56.4,9.3,6.8,11.2,93.2,18.7,17.9,60.9,28.5,61.1,3384,70.3,35.2,19.8,8559.6,1710.9,135.2,29.8,49.5,261.3,111.6,35.5,172.8,163.7,6.4,6.3,12342.6,102.8,598.2,13.6,38.4,11.8,20.3,4.7,262.8,2.2,27.8,61.3,517.1,1477.1,92.1,13.2,19.2,NA,56,19130.9,9.9,42,250.8,17.4,28.8,22.7,166.9,3575.2,3575.2
16K-644,1,144,349.2,108.7,39.2,11.1,37.5,5,481.3,15.7,39.4,124.2,14.4,166.5,5071.6,168.5,98.9,54.8,NA,4223.2,1192.7,199.3,NA,327.5,101.2,288,559.4,99.8,81.9,9.4,70.8,665.5,69.3,14.6,29.2,25.8,125.8,25.7,210.8,43.5,106.4,35.8,59.5,4472.8,51.6,332.2,19.2,21.1,102.9,20633,16.9,120.2,209.4,54.1,55.1,69.7,948.1,7304.2,7304.2
16K-651,1,168,194.8,117.1,54.5,19.4,21.5,60.6,204.5,31.9,77.2,216.2,26.3,176.1,4531.5,88.5,279.5,38.9,199.7,169.2,188.2,67.8,0.3,169.6,NA,NA,NA,306,47.3,5.5,21.5,547.2,1922.2,NA,21.9,14.2,75.7,37.2,261.1,9.6,33.2,58.3,2278.8,2288.4,57.4,160.9,19.2,19.7,143.6,36188.5,17.9,19.5,90.2,NA,30.4,39,1367,7507.5,7507.5
16K-667,1,144,198.5,121,55.9,16.3,21.3,62.8,208.5,32.4,80.6,286.5,35.3,171.2,4852.5,88.5,283.4,37.7,169.5,218.5,194.8,78,NA,167.5,NA,NA,NA,309.2,37.1,6.2,25.3,526.2,1985.4,NA,24.2,15.2,84.7,39,269.3,NA,36.2,21.4,2366.8,2194.5,56.2,165.4,19.2,23.8,186.3,39989.3,18,17.5,53.7,NA,34.8,40.1,1277.9,7552.5,7552.5
16K-678,1,144,362.1,109.3,65.8,6,35.1,16.5,258.4,NA,117.1,424.3,14.9,434.6,4631.1,171,218.3,62.2,395.1,874.4,161.9,89.9,3.2,502.8,318.3,156.6,544.2,302.5,73.3,8.2,11203.4,701.6,5769.9,29.7,40.5,24.6,33.8,42.9,587.3,21.2,24171.9,65.1,39.5,4255.1,52.2,90.5,19.2,19.3,117.4,21875.3,34.9,44.5,108.5,104,8.7,33.7,1257.6,4868.3,4868.3
16K-685,1,108,93.8,290.2,60.3,50.3,7.9,69.7,115,42.1,666.9,119.4,40.8,223.7,3255.9,243.7,1514,116,157.7,3859.9,150.3,160.3,3.2,630.4,351.8,95.6,151.9,362.7,32,7.2,25.2,301.7,1374.9,26.6,44.4,25.6,40.6,50.4,803.4,18.6,269.3,81.7,41.5,2296.1,136.7,17.3,19.2,26.7,441.1,19342.9,31.8,61,85.2,15.8,114.5,39,855.5,5188.8,5188.8
16K-686,1,192,405.6,125.7,7.5,10.8,28,11.7,100.8,13.5,29.4,167.6,65.3,152,2199.4,235.6,543.7,93.6,490.4,878.2,113.3,74.6,1.9,3519.2,165.7,281.7,68.2,398.4,116.5,2.7,177.5,364,1232.9,37.8,33.8,13.4,38.7,4.3,217,NA,394.7,15.8,58.9,2529.9,100.5,6.7,19.2,25,124.9,12419.2,8.5,60.2,51,62.3,47.9,30.4,408.1,1748.1,1748.1
16K-688,1,156,400.6,119.7,7.7,10.2,27.5,10.8,96.7,10.8,28.4,153.8,66.7,145.3,2133.4,209.3,506.7,85.3,456.9,825.2,108,69.7,2.1,3307.3,161.5,260.7,60.9,385.1,47.3,3.6,158.1,383,1148.8,37.1,52.3,12.6,37.7,40,199,4,358,15.3,54.4,2440.1,101.1,6.2,19.2,26,111,12518.4,8.2,52.6,53.3,127.7,38.2,28.9,369.4,1677.3,1677.3
16K-695,1,120,41.6,83.5,3.8,2.4,12.1,1,NA,3,6.2,15.9,206.8,189.5,442.3,96.3,11.3,4.4,994.2,62,19.1,22.2,0.9,1885.5,276,84.8,25.5,7.9,3.3,19.7,155.9,19.3,1229.5,15.8,18.9,1.1,NA,2.6,88.4,14,670.8,67.2,14.6,33.1,9.8,NA,19.2,12.5,NA,1518.5,57.8,4.1,13.3,17.2,5.6,4.4,148.2,336.9,336.9
16K-711,0,144,77.5,74,44.3,14.8,6.1,6.9,90.9,16.4,11.9,67.7,22.6,73.7,1939.7,50.6,67,8.1,1115,39.3,96.5,14.5,6.8,107.4,44,13.4,120,346.6,17.1,2.9,43.8,209.7,447.7,8.2,23.8,14.7,29.4,6.2,121.9,61.9,487.7,47.8,83.7,675.7,27.5,11.2,19.2,10.8,38.4,10968.2,5.8,20.8,89.5,11.8,26.3,24.1,322.2,2859.1,2859.1
16K-719,0,120,112.9,59,42.8,5.9,28.5,18.7,NA,11.9,20.8,102.7,6.3,71.9,2141.6,110.9,296,15.5,1553.8,825.8,89.5,141.2,6.1,134.2,51.1,23.8,208.1,16.1,23.1,3.6,11.6,202.9,697.6,29.4,22.8,5.6,22.4,14.4,26.1,5.8,924,29.9,107.1,5452.3,27.3,8,19.2,12.4,30.2,9393.2,5.9,25.6,77.3,42.7,19.1,25.4,1217.5,4650.4,4650.4
16K-724,1,144,400.6,69,45.4,6.1,16.7,17.8,51.7,9.8,54.2,203.8,19.2,168.5,2872.6,59.4,109.5,40,640.6,50.8,238.8,85.6,18.6,547.5,215.2,57.9,137.5,51.9,20.7,3.7,82,166.3,1551.6,12.3,45.7,18.2,40.1,86.4,151.9,4.8,21.5,11.1,124.7,2857.4,78.7,62.9,3.9,21.5,129.7,21019.8,10.9,23.2,81,103.5,24.3,27.5,272,1819.5,1819.5
16K-725,1,168,251.2,238.3,67.1,15.5,18.7,21.8,98.9,32.6,55.9,469.6,32.8,169.2,4404,114.9,345.8,60,575.7,485.3,178.2,95.6,1.2,332.5,7.5,115.3,214.4,33.4,126.1,10.4,21.6,586.6,2242,21.5,36.2,23.7,59.1,13.3,506.7,14.1,4.6,26.9,108.7,10500.8,170.5,5.4,19.2,20.4,90.7,21363.2,18.6,65.8,118.5,35.4,47.9,40,459.5,5060.5,5060.5
16K-730,1,108,39.4,52.5,23.6,6.4,6.2,5.3,21.7,8.3,10.5,31.3,11.6,25,852,32,32.5,4.8,747.1,81.3,58.5,14.8,1.8,107.4,18.8,15.5,73.6,8.7,4.2,1.2,8.9,64.5,297,5,14.7,4.6,7.5,14.7,62.6,1,5.1,24.7,54.9,539.8,33.3,6,19.2,11.4,21.5,5592.6,2.4,10.2,73,31.2,11.1,8.1,163.7,1407.5,1407.5
16K-737,0,132,194.1,116.9,53.7,9.4,21.2,61.4,208,26.4,78.3,303.4,60.7,162.5,4161.4,75.1,281.7,37.7,190.8,391.8,190.6,86.6,NA,173.2,NA,NA,NA,274,30.8,6.2,26.3,515.9,1892.7,NA,23.9,14.9,105,36.5,263.4,9.8,35.3,9.7,2278.1,2226.7,56.2,158.5,19.2,21.8,135,22521.2,18.1,26,73.4,NA,31.6,40.3,1241.1,7743.1,7743.1
16K-743,1,156,69.8,27.9,41.8,2.8,9.4,3.2,NA,6.9,10.2,69,12,71.2,1716.9,28.1,175.5,18.2,55.6,903.9,102.9,54.1,5.2,117.2,23,29.4,77,49.2,16.7,4.2,2239.4,161.9,503.7,NA,18.7,5.6,30.8,5.4,46,3.1,3.1,14.9,11.5,2357.4,18.4,17.1,19.2,9.6,46.9,8491.2,7.5,29.5,45.7,48.3,11.8,18.1,442.5,734.1,734.1
16K-755,0,132,615.4,203.3,74.6,32.6,44.5,34.6,66,21.3,100.4,389.2,35.8,415.5,6870.7,210.8,813.7,74.2,NA,583.4,259.5,52,6.7,680.7,271.8,128.1,517.7,207.7,37.3,7.5,62.4,405.9,7430.6,13.9,51.2,40.5,64.4,110.5,917.3,4.6,88.7,460,53.2,958.9,175.2,103.7,19.2,29.6,230.8,44578.5,39.6,61.9,204.4,214.7,27.2,78.5,956.8,8642.1,8642.1
16K-756,1,168,198,124.5,56.8,11.4,21.9,65.9,217.9,23.7,82.2,354.4,44.5,175.1,5167.5,81.8,299.5,17.3,214,467,199.7,95,NA,187.9,215.2,56.8,NA,287.6,32.3,6.2,36.1,520.7,2016,22.1,NA,17.5,113.7,14.8,281.9,9.7,36.7,10.8,2429.3,2373.1,60.7,173.7,19.2,17.9,152.1,26513.5,19.1,24.1,48.7,NA,14.5,44.1,1459.8,8145.1,8145.1
16K-771,1,156,205.8,123.2,56.7,6.9,22,64.6,216.7,23.8,83.5,347.2,45.5,174,4819.8,77.3,301.5,40.6,180.8,509.9,199.5,99,NA,185.4,NA,NA,NA,291.2,48,6.1,37.3,538.5,2033.6,NA,NA,18.1,117,15,278.5,12.2,37.3,9.4,2453.2,2427.2,59.8,173.2,19.2,20.7,149.1,28208.5,19.5,24.6,35.5,NA,37.7,43,1410.9,7755.1,7755.1
16K-785,1,144,181.2,20.5,19,2.5,6.4,7.5,8.2,3.9,41.8,35.5,69.1,64.1,849.7,49.7,250.4,15,46.2,497.4,40.5,155.3,NA,243,98.6,44.9,16.9,31.3,17.3,6.5,110,227.2,568.7,30.1,54,5.5,16.1,3.2,72.7,3.8,73.2,13.5,9.8,416,41.6,NA,19.2,5.9,68.1,4179.7,15.5,14.9,18.7,16.7,18.5,12.2,209.5,1480.2,NA
